Signal,Maximum Amplitude,Mean,S.D,Energy,Average Power,Label
"0       0.000
1      -0.002
2      -0.001
3       0.000
4       0.000
        ...  
3995    0.001
3996    0.001
3997    0.001
3998    0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.026,-0.00036675,0.002738908512977499,0.030537,3.816647919010124e-06,Movement
"0       0.000
1      -0.002
2      -0.001
3      -0.002
4      -0.003
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.026,-0.00037575,0.0027317444141767904,0.030406999999999997,3.8003999500062487e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995    0.002
3996    0.002
3997    0.001
3998    0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.023,-0.000354,0.0022991314667446367,0.02164,2.7046619172603423e-06,Movement
"0       0.000
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.000
3996   -0.001
3997    0.000
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.027,-0.0003685,0.002146825555323778,0.018973999999999998,2.371453568303962e-06,Movement
"0       0.001
1       0.001
2       0.001
3       0.001
4       0.001
        ...  
3995    0.000
3996   -0.009
3997   -0.013
3998   -0.008
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.049,-0.0003945,0.002327815377367324,0.022292,2.786151731033621e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995    0.000
3996   -0.001
3997   -0.003
3998   -0.006
3999   -0.008
Name: 2, Length: 4000, dtype: float64",0.032,-0.00035725,0.003032890047959331,0.037294999999999995,4.661292338457692e-06,Movement
"0      -0.008
1      -0.007
2      -0.001
3       0.007
4       0.010
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.002
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.023,-0.00038775,0.0027246570199695075,0.030289,3.7856517935258092e-06,Movement
"0      -0.002
1      -0.002
2      -0.002
3      -0.002
4      -0.002
        ...  
3995    0.000
3996    0.000
3997    0.000
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.029,-0.0003885,0.002624269316850281,0.028143999999999995,3.517560304961879e-06,Movement
"0       0.000
1      -0.001
2       0.000
3      -0.002
4      -0.001
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.001
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.02,-0.00039725000000000003,0.0018468338139323937,0.014271000000000002,1.7836520434945634e-06,Movement
"0      -0.003
1       0.002
2       0.004
3       0.002
4      -0.001
        ...  
3995   -0.002
3996   -0.001
3997   -0.002
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.025,-0.000417,0.0027134759512356995,0.030139999999999997,3.7670291213598295e-06,Movement
"0       0.000
1      -0.002
2      -0.007
3      -0.004
4       0.004
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.043,-0.00038475,0.002175867881503709,0.019524999999999997,2.440319960004999e-06,Movement
"0       0.000
1      -0.001
2      -0.001
3       0.000
4      -0.001
        ...  
3995   -0.004
3996   -0.005
3997   -0.006
3998   -0.005
3999   -0.005
Name: 2, Length: 4000, dtype: float64",0.026,-0.00039975,0.0022963597833448577,0.021727000000000003,2.7155355580552436e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.002
4      -0.002
        ...  
3995   -0.001
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.025,-0.0003855,0.0021127010262710156,0.018444000000000002,2.3052118485189353e-06,Movement
